Date,return,high_low,turnover
2017-08-17,3.4384275192669705e-07,2.3170547888443902e-07,3787258643202.467
2017-08-18,2.9605471280292486e-06,5.9924550680803545e-06,2088254507227.7485
2017-08-21,6.151774224635986e-08,1.577241514706553e-07,2873819845881.891
2017-08-22,2.962128663662827e-07,4.569635325860717e-09,4753780605076.931
2017-08-23,1.9308626356304007e-07,1.2965527476818706e-07,4153597366114.992
2017-08-24,1.2509033114337166e-05,3.533489617735068e-06,13100197036384.371
2017-08-25,2.314608819008207e-05,1.950482925598544e-07,15565669590877.062
2017-08-28,1.2382697218615195e-05,6.084398061185928e-07,3885859932113.86
2017-08-29,5.903406053750878e-08,2.2686172066342617e-07,564945849708.2697
2017-08-30,3.656970062046752e-07,1.563208379372451e-07,6296124458211.979
2017-08-31,9.954444165905592e-06,2.5563761750113e-07,8697930221166.233
2017-09-01,3.165681926626816e-08,3.234655001495498e-07,3735804643830.967
2017-09-05,7.469348047643031e-09,5.299225462842949e-07,7454842340946.889
2017-09-06,3.8160646122218904e-07,7.877361745181535e-07,2293904206270.4272
2017-09-07,4.2633046990189997e-07,1.0192366732599987e-06,8992704798181.234
2017-09-08,3.5319047759220487e-07,6.99848661471308e-07,17867577959237.895
2017-09-11,2.520459125285442e-07,2.4184995681498933e-07,1356511802041.7136
2017-09-12,2.7247288469343318e-09,4.104364607464785e-07,71270553321.20277
2017-09-13,3.477542726518713e-05,3.943907843916353e-07,4745710613441.489
2017-09-14,5.673834950597972e-07,1.3612613638634438e-07,5740115911172.744
2017-09-15,1.0232842423205528e-07,2.1631255571763033e-07,4526889762642.886
2017-09-18,4.919605781567084e-08,1.7056364384518596e-07,3045007879527.848
2017-09-19,1.520664380216281e-06,1.4879855123318217e-06,3860184067350.597
2017-09-20,5.487867121513247e-07,4.2059989219819054e-07,2592258081124.5166
2017-09-21,2.077047895659141e-08,1.5653637260383903e-08,2025111010167.9065
2017-09-22,5.228900916352059e-07,2.349894938935607e-07,7093178461462.786
2017-09-25,5.268771946701113e-07,9.363582805460971e-08,1455650419189.458
2017-09-26,1.134635115470947e-06,8.817808960484018e-07,5655204990958.762
2017-09-27,1.2480124193561195e-06,2.6597156361026675e-07,1602540056390.9194
2017-09-28,3.830938823808883e-07,7.841622084629788e-09,9043499416929.373
2017-09-29,1.7846995078860664e-07,2.8737015098292663e-10,10273703764452.12
2017-10-02,8.302548431796718e-08,2.3309461595391322e-07,6067393564579.2295
2017-10-03,1.7452779325923156e-05,2.3601022338043134e-07,5797354438361.249
2017-10-04,2.918292868386091e-07,9.443937464175341e-07,3118307531147.789
2017-10-05,1.1201373653720554e-05,4.905702804028027e-07,5793748148255.075
2017-10-06,2.186017016712758e-07,7.240928583209646e-08,560011668857.5856
2017-10-09,4.949262732889831e-07,1.9861945609264187e-07,1968515068351.8333
2017-10-10,2.0892639968935094e-05,8.831146571024942e-10,3093703562532.2646
2017-10-11,2.594332774174278e-05,2.6431459745668185e-07,2008374865707.9443
2017-10-12,1.690324858697243e-07,3.81034371154913e-07,21858005292600.516
2017-10-13,5.468143933431302e-08,2.931186889798897e-07,12279817013137.012
2017-10-16,2.5958397403074052e-08,4.1199090276720037e-07,14873499733083.562
2017-10-17,1.843984339209613e-07,3.10661212412599e-07,4496502877996.118
2017-10-18,3.8215371436369794e-07,7.921134079343519e-07,12802374535395.572
2017-10-19,3.3210822301678124e-07,9.768186880652596e-07,2142138694771.138
2017-10-20,6.680983152334437e-08,6.363717180786382e-07,28625318478902.457
2017-10-23,7.867793784264522e-07,2.4828284861439403e-07,4970551033761.57
2017-10-24,4.129913708655683e-09,9.092898407753014e-07,8894251633211.646
2017-10-25,7.584905090179785e-07,1.0056199122980599e-06,4465027897913.677
2017-10-26,8.440466661611619e-08,2.3022214622972322e-06,5844422431709.773
2017-10-27,1.6465025553973814e-06,9.1391661508024e-07,2448824178068.3926
2017-10-30,2.9498172376808256e-05,6.225455981434186e-07,3670312261209.271
2017-10-31,1.859928493719772e-07,2.0105962509162693e-07,11925713483516.92
2017-11-01,8.850343568520124e-07,4.738274389632303e-06,12950874717642.217
2017-11-02,1.2160751138448379e-05,9.278165609292183e-07,13785834817682.44
2017-11-03,7.208936017753321e-07,6.067666340405868e-06,4614271576576.408
2017-11-06,5.522697260641917e-07,1.0877939611826135e-06,3372718618386.2705
2017-11-07,2.454936380068149e-07,1.9448280745622782e-06,13471194266742.24
2017-11-08,,,
2017-11-09,4.495289454797716e-06,7.487920765091623e-06,2079840017189.1345
2017-11-10,2.071185987259056e-05,2.340457385238929e-07,2427574757716.3447
2017-11-13,3.269567638039079e-07,1.2333410477785695e-07,2437496515460.283
2017-11-14,4.017609047909409e-05,2.1737923472143133e-07,12318236828763.395
2017-11-15,2.559245624926865e-07,1.7332025947709528e-07,4881046456775.364
2017-11-16,2.005182393312897e-08,2.1990515149900723e-07,1526788996365.636
2017-11-17,6.646023587025526e-08,1.18592463047849e-06,5154716852375.711
2017-11-20,6.137527105409538e-08,3.5448237183721727e-07,1201910956510.8882
2017-11-21,1.2670593091505581e-07,5.475087076902283e-07,5435793383960.134
2017-11-22,1.7855300055942446e-08,1.1723261443748601e-07,20671892030819.305
2017-11-24,2.2908521828304425e-07,6.134212586793598e-08,2424546026739.7085
2017-11-27,1.2550248742532923e-07,4.500736558568842e-08,4088089347845.0205
2017-11-28,3.486489727051098e-07,5.971084348767814e-08,4572902466966.909
2017-11-29,1.0975778862272088e-07,2.310959527468962e-07,4460314150239.447
2017-11-30,3.5608514352554385e-08,9.909008743731664e-07,52084899727472.45
2017-12-01,1.084786452584269e-07,9.710701745440854e-08,13084727214894.938
2017-12-04,2.7349779980141386e-05,2.0824743154460887e-06,13568043694146.09
